Rayyan ID,DFA,title,key,no_clust,performance
rayyan-305067170,1,Vocal complexity and sociality in spotted paca (Cuniculus paca).,rayyan-305067170,,
rayyan-305067742,0,Structural Classification of Wild Boar (Sus scrofa) Vocalizations.,rayyan-305067742,,
rayyan-305067080,1,Vocal repertoire of free-ranging adult golden snub-nosed monkeys (Rhinopithecus roxellana).,rayyan-305067080,,
rayyan-305067090,1,"Vocal repertoire of free-ranging black howler monkeys' (Alouatta pigra): Call types, contexts, and sex-related contributions.",rayyan-305067090,,
rayyan-305067091,1,Bioacoustic characterization of the black-and-white ruffed lemur (Varecia variegata) vocal repertoire.,rayyan-305067091,,
rayyan-305067094,1,Vocal repertoire of the social giant otter.,rayyan-305067094,,
rayyan-305067095,1,The vocal repertoire of Tibetan macaques (Macaca thibetana): A quantitative classification.,rayyan-305067095,,
rayyan-305067097,1,"Vocal repertoire, micro-geographical variation and within-species acoustic partitioning in a highly colonial pinniped, the Cape fur seal.",rayyan-305067097,,
rayyan-305067099,1,The Vocal Repertoire of the Bearded Capuchin (Cebidae: Sapajus libidinosus): Implications for Understanding the Complexity of Neotropical Primate Communication.,rayyan-305067099,,
rayyan-305067104,1,Not just a pretty song: an overview of the vocal repertoire of Indri indri.,rayyan-305067104,,
rayyan-305067116,1,Vocal Repertoire of Wild Blonde Capuchins (Sapajus flavius) and Contextual Use of Calls.,rayyan-305067116,,
rayyan-305067163,1,"The vocal repertoire in a solitary foraging carnivore, Cynictis penicillata, may reflect facultative sociality.",rayyan-305067163,,
rayyan-305067190,1,Roaring high and low: composition and possible functions of the Iberian stag's vocal repertoire.,rayyan-305067190,,
rayyan-305067201,1,Vocal communication in a complex multi-level society: constrained acoustic structure and flexible call usage in Guinea baboons.,rayyan-305067201,,
rayyan-305067210,1,The vocal repertoire of adult male blue monkeys (Cercopithecus mitis stulmanni): a quantitative analysis of acoustic structure.,rayyan-305067210,,
rayyan-305067231,1,"Sahamalaza Sportive Lemur, Lepilemur sahamalaza, Vocal Communication: Call Use, Context and Gradation.",rayyan-305067231,,
rayyan-305067281,1,Social vocalizations of big-footed myotis (Myotis macrodactylus) during foraging.,rayyan-305067281,,
rayyan-305067326,1,The role of vocal tract filtering in identity cueing in rhesus monkey (Macaca mulatta) vocalizations.,rayyan-305067326,,
rayyan-305067332,1,The use of Vocalizations of the Sambirano Mouse Lemur (Microcebus sambiranensis) in an Acoustic Survey of Habitat Preference.,rayyan-305067332,,
rayyan-305067337,1,"Acoustically diverse vocalization repertoire in the Himalayan leaf-nosed bat, a widely distributed Hipposideros species.",rayyan-305067337,,
rayyan-305067339,1,Context-related call combinations in female Diana monkeys.,rayyan-305067339,,
rayyan-305067386,0,Do sexual calls in female black capuchin monkeys (Sapajus nigritus) vary with fertility? An acoustic analysis.,rayyan-305067386,,
rayyan-305067394,0,Vocalizations of wild Asian elephants (Elephas maximus): structural classification and social context.,rayyan-305067394,,
rayyan-305067514,1,Acoustic structure of forest elephant rumbles: a test of the ambiguity reduction hypothesis.,rayyan-305067514,,
