k,Rayyan ID,Title,Year,Species (Latin),Species (English),Genetic line (if applicable),Order,Family,Recording location,Group context,Juveniles present?,Number of animals,Number of vocalizations (total recorded),Number of vocalizations (included in analysis),Call classification,Full repertoire analysed?,"Repertoire size (hand, total)","Repertoire size (hand, juvenile) - indicate how many calls of total repertoire are juvenile ",Repertoire size (automated),Graded vs discrete (do authors mention reportoire is graded?),Data availability,Notes,Preselected non-noisy calls,Spectrogram type,FFT size,Window type,Overlap (%),Bandpass filtered,High pass freq threshold,Low pass freq threshold ,Notes (preprocess),Package,Number of features,Multi-unit calls?,Characteristics general,Syllables/units,Repeated measurements at multiple locations in call?,PRAAT measures,AvisoftSAS Lab Pro measurements,Raven Pro measurements,warblR measurements,Custom features,Custom measurement of:,Notes call features,Language,"Analysis methods (only mark when used for analysis, so e.g. don't mark UMAP if it's ONLY used for visualization)",Analysis based on:,Notes analysis,Open access,License
17/08/2025 20:01:11,rayyan-305067170,Vocal complexity and sociality in spotted paca (Cuniculus paca).,2018,Cuniculus paca,spotted paca,,Rodentia,Cuniculidae,farm,"group, solitary",Yes,51,,401,Hand,Yes,8,1,,No,"Yes, preprocessed",,yes,,4096,Hanning/Hann,90,No,,,,Raven Pro,5,Some,duration,,,,,max/peak frequency,,"minimum frequency, maximum frequency, number of harmonics under 1 kHz",,,not reported,LDA,features,language not clear,Yes,CC BY 4.0
14/10/2025 05:43:57,rayyan-305067742,Structural Classification of Wild Boar (Sus scrofa) Vocalizations.,2016,Sus scrofa,wild boar,,Artiodactyla,Suidae,farm,group,Yes,,,616,"Hand, Automated",Yes,4,,2-4,Yes,No,,yes,,1024,Hamming,50,No,,,,MIR Toolbox (MATLAB),19,No,duration,,,,,,,"mean differential of the dominant frequency (DDF), maximum differential of the dominant frequency (MDDF), standard deviation of the dominant frequency (STDF), mean differential of the normalized root-mean-square (DRMS), standard deviation of the normalized root-mean-square (STRMS), mean differential of the spectral flux (DSF), maximum differential of the spectral flux (MDSF), and standard deviation of the spectral flux (STSF), A25, A50, A75, spectral centroid, spectral entropy, Coefficient'of'variation'of'the'rootMmeanMsquare'of'the'
amplitude'(CVA), spectral flatness, spectral flux, zero-crossings","dominant frequency, amplitude",,"SPSS, MATLAB",hierarchical cluster analysis,features,,Yes,CC BY 4.0
17/08/2025 17:31:03,rayyan-305067080,Vocal repertoire of free-ranging adult golden snub-nosed monkeys (Rhinopithecus roxellana).,2018,Rhinopithecus roxellana,golden snub-nosed monkey,,Primates,Cercopithecidae,field,group,No,71,1826,311,Hand,Yes,18,,,No,No,,yes,linear,1323,Gaussian,,No,,,,Praat,16,Some,duration,,,"mean F0, max F0, min F0, range F0, std f0, start f0, end f0, %T_min f0, %T_max f0, meanAMP, minAMP, maxAMP, rangeAMP, HNR, jitter",,,,,,,Praat,DFA,features,,Yes,CC BY-NC 4.0
20/08/2025 21:30:32,rayyan-305067090,"Vocal repertoire of free-ranging black howler monkeys' (Alouatta pigra): Call types, contexts, and sex-related contributions.",2017,Alouatta pigra,Yucatán black howler monkey,,Primates,Atelidae,field,group,Yes,20,,540,Hand,Yes,12,,,No,No,,yes,linear,256,Hanning/Hann,not reported,No,,,,AvisoftSAS Lab Pro,8,No,"duration, total power",,,,"min frequency, max frequency, bandwidth, Q25, Q50, entropy",,,,,,SPSS,DFA,features,,No,
20/08/2025 21:50:59,rayyan-305067091,Bioacoustic characterization of the black-and-white ruffed lemur (Varecia variegata) vocal repertoire.,2023,Varecia variegata,black-and-white ruffed lemur,,Primates,Lemuridae,field,group,Unknown,31,,688,"Hand, Automated",Yes,11,,3-4,No,"Yes, preprocessed",,yes,linear,512,Hanning/Hann,not reported,No,,,,warbleR,33,Some,duration,"unit duration, number of units, syllable order, syllable type, # syllable types",,,,,"meanfreq, freq.median, freq.Q25, freq.Q75, freq.IQR, time.median, time.Q25, time.Q75, time.IQR, skew, kurt, sp.ent, time.ent, entropy, sfm, meandom, drfange, midindx",,,,R,"DFA, PCA, NbClust",features,,No,
20/08/2025 22:09:48,rayyan-305067094,Vocal repertoire of the social giant otter.,2014,Pteronura brasiliensis,giant otter,,Carnivora,Mustelidae,field,group,Yes,43,6246,458,Hand,Yes,15,,,Yes,No,"19 subtypes, some analysis of types, but not classified with automated methods",yes,linear,1024,Hanning/Hann,50,No,,,,Raven Pro,13,Some,duration,number of units,,,,"max/peak frequency, 3rd quartile frequency",,"lowest frequency, highest frequency, start frequency, maximum frequency, end frequency, bandwidth, time to max, time max to end, plateau duration","F0, peak frequency","custom features: f0 for harmonic, pf for non-harmonic; the lowest and highest seem to be lowest harmonic and highest harmonic, but unclear",R,"LDA, PERMANOVA, PCoA",features,,No,
21/08/2025 19:42:11,rayyan-305067095,The vocal repertoire of Tibetan macaques (Macaca thibetana): A quantitative classification,2016,Macaca thibetana,Tibetan macaque,,Primates,Cercopithecidae,field,group,Yes,43,534,126,Hand,Yes,11,,,Yes,No,,yes,linear,1024,Hamming,50,No,,,,AVISOFT-SASLab Pro,30,Some,duration,,"yes, the start, the end, the center, the maximum amplitude, and the lowest and highest position of the peak frequency contour of the entire call",,"peak frequency, min frequency, max frequency, bandwidth",,,,,,R,"DFA, PCA, LDA",features,,No,
21/08/2025 20:07:51,rayyan-305067097,"Vocal repertoire, micro-geographical variation and within-species acoustic partitioning in a highly colonial pinniped, the Cape fur seal.",2021,Arctocephalus pusillus,Cape fur seal,,Carnivora,Otariidae,field,group,Yes,362,,3825,Hand,Yes,5,1,,No,"Yes, preprocessed",,yes,linear,1024,Hamming,75,Highpass,100,,,Avisoft SAS Lab Pro,9,Some,duration,,,,"fundamental frequency, bandwidth, Q25, Q50, Q75",,,"frequency value of the first, second and third energy peak (Fmax1, Fmax2, Fmax3; Hz), percentage of energy below 500 Hz for adults' calls (Ebelow500; %) and below 2000 Hz for pups (Ebelow2000; %)",formants,,R,"LDA, Random Forest",features,,Yes,CC BY 4.0
21/08/2025 02:13:35,rayyan-305067099,The Vocal Repertoire of the Bearded Capuchin (Cebidae: Sapajus libidinosus): Implications for Understanding the Complexity of Neotropical Primate Communication,2021,Sapajus libidinosus,bearded capuchin,,Primates,Cebidae,field,group,Yes,10,4037,389,Hand,Yes,25,,,No,"Yes, raw",https://datadryad.org/dataset/doi:10.5061/dryad.nvx0k6dsn,yes,linear,1024,Hamming,50,No,,,,Avisoft-SASLab,10,Some,duration,"number of units, duration of longest syllable",,,"peak frequency, min frequency, max frequency, bandwidth",,,"pf start, pf end, pf slope",peak frequency,,R,DFA,features,,No,
21/08/2025 19:54:40,rayyan-305067104,Not just a pretty song: an overview of the vocal repertoire of Indri indri.,2010,Indri indri,indri,,Primates,Indriidae,field,group,Yes,28,,1670,Hand,Yes,12,3,,No,No,,yes,linear,2205,not reported,not reported,Lowpass,12000,,"No details given on FFT procedure, only some of the Praat settings",Praat,7,Some,duration,,,"mean F0, max F0, min F0",,,,"average first formant (F1), average second formant (F2), average third
formant (F3)",formants,,SPSS,DFA,features,,Yes,CC BY-NC 4.0
